"Household final consumption expenditure, quarterly, Canada (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Release date: 2023-05-31"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
"Tools and equipment for house and garden  [C154]","751","751","792","772","782","822","782","797","772","802","868","863","888","939","990","969","949","949","1,010","985","1,005","985","1,005","1,091","1,071","1,066","1,086","1,071","1,132","1,101","1,178","1,203","1,198","1,198","1,223","1,264","1,249","1,228","1,238","1,279","1,228","1,269","1,346","1,409","1,412","1,467","1,526","1,581","1,651","1,692","1,784","1,831","1,957","1,953","1,945","1,986","2,122","2,122","2,093","2,162","2,203","2,273","2,291","2,306","2,354","2,243","2,310","2,317","2,299","2,379","2,394","2,453","2,435","2,427","2,479","2,534","2,475","2,449","2,409","2,424","2,453","2,387","2,281","2,236","2,149","2,048","2,064","2,056","2,144","2,110","2,197","2,162","2,190","2,255","2,268","2,255","2,308","2,375","2,435","2,462","2,298","2,348","2,394","2,469","2,464","2,530","2,591","2,646","2,605","2,616","2,651","2,683","2,713","2,672","2,667","2,602","2,768","2,738","2,728","2,667","2,474","2,485","2,425","2,410","2,379","2,396","2,424","2,467","2,524","2,618","2,662","2,671","2,782","2,866","2,892","2,985","2,928","2,906","2,911","2,910","3,029","3,006","2,971","3,015","3,192","3,193","3,206","3,197","3,291","3,273","3,273","3,325","3,343","3,335","3,352","3,335","3,405","3,423","3,512","3,555","3,591","3,609","3,578","3,680","3,716","3,712","3,737","3,810","3,877","3,922","3,921","3,908","4,023","4,101","4,213","4,277","4,287","4,369","4,393","4,439","4,554","4,722","4,770","4,836","4,843","4,879","4,907","5,037","5,075","5,103","5,212","4,952","4,809","4,818","4,790","4,837","4,965","4,915","4,813","4,813","4,875","4,916","4,994","4,998","5,008","4,960","4,924","4,880","4,948","5,028","5,156","5,304","5,125","5,249","5,344","5,316","5,235","5,168","5,117","5,293","5,293","5,216","5,328","5,512","5,636","5,848","5,756","5,608","5,780","5,976","5,936","5,917","6,419","6,357","6,178","6,249","6,097","6,843","7,715","7,775","8,713","7,239","7,706","8,085","8,971","8,166","7,902","7,954","7,443"
"Other goods and services related to the dwelling and property  [C155]","5,998","6,027","6,285","6,257","6,149","6,429","6,285","6,257","6,178","6,285","6,357","6,486","6,493","6,378","6,508","6,472","6,400","6,544","6,716","6,579","6,945","6,673","6,895","6,787","6,709","7,060","7,017","7,060","7,046","7,232","7,383","7,254","7,742","7,347","7,347","7,577","7,562","7,620","7,534","7,720","7,813","7,933","8,222","8,478","8,380","8,521","8,696","8,663","9,191","9,267","9,409","9,812","10,128","10,073","9,959","9,692","9,964","10,024","10,117","10,302","10,324","10,465","10,454","10,590","10,530","10,476","10,656","10,721","10,716","10,748","10,814","10,841","11,091","11,184","11,293","11,293","11,287","11,325","11,511","11,472","11,516","11,448","11,227","11,286","11,228","11,064","10,949","11,042","11,152","11,142","11,421","11,301","11,610","11,717","11,734","11,870","11,890","12,036","12,406","12,735","12,566","12,840","13,009","13,063","13,015","13,199","13,419","13,634","13,622","13,831","13,994","14,134","14,109","14,213","14,039","13,893","14,397","14,305","14,275","14,008","13,712","13,830","13,569","13,764","13,860","14,029","14,156","14,292","14,358","14,397","14,484","14,577","14,891","14,998","15,184","15,409","15,258","15,140","15,192","14,972","15,200","15,136","15,120","15,239","15,409","15,525","15,682","15,646","15,976","16,155","16,229","16,278","16,359","16,481","16,681","16,706","17,038","17,068","17,285","17,395","17,487","17,605","17,687","17,993","18,260","18,514","18,552","18,699","18,971","19,157","19,263","19,457","19,798","20,073","20,215","20,343","20,599","20,780","20,963","21,074","21,366","21,639","21,936","22,114","22,399","22,538","22,656","22,970","23,121","23,301","23,449","23,221","23,076","22,966","22,945","23,060","23,353","23,468","23,473","23,470","23,338","23,224","23,303","23,470","23,432","23,312","23,312","23,452","23,620","23,621","24,185","24,092","24,113","24,064","24,399","24,540","24,642","24,760","24,872","24,839","24,898","24,850","24,885","25,011","25,146","25,604","25,748","25,821","25,733","26,077","25,934","25,726","26,007","26,434","26,279","26,718","26,795","21,970","24,933","25,271","26,037","25,282","26,002","26,404","26,733","26,637","26,353","26,113","26,984"
"Health  [C16]","7,197","7,383","7,507","7,538","7,600","7,755","7,941","8,190","8,383","8,352","8,345","8,399","8,546","8,709","8,833","8,849","9,004","9,120","9,330","9,671","9,795","10,035","10,128","10,159","10,260","10,609","10,718","10,927","10,919","11,098","11,307","11,889","11,261","10,384","10,648","10,896","9,523","9,198","8,779","8,430","8,011","8,299","8,440","8,675","8,722","8,858","8,928","9,222","9,633","9,786","9,727","9,716","9,857","9,863","10,062","10,027","10,303","10,368","10,668","10,539","10,703","10,815","10,938","11,279","11,273","11,708","11,679","12,090","12,255","12,290","12,378","12,443","12,378","12,231","12,290","12,349","12,737","12,913","13,037","13,013","12,584","12,387","12,289","12,168","12,759","12,693","12,661","12,748","12,857","12,923","12,956","12,891","13,286","13,495","13,604","13,713","13,995","14,116","14,487","14,630","14,813","14,813","15,052","15,107","15,312","15,419","15,088","14,962","14,950","14,875","14,847","14,866","15,135","15,260","15,586","15,664","15,772","15,843","16,124","16,033","16,076","16,116","16,204","16,516","16,402","16,410","16,410","16,455","17,203","17,177","17,188","17,047","17,101","17,170","17,399","17,502","18,201","18,673","19,065","19,524","19,118","19,171","19,365","19,840","20,528","20,987","21,737","21,759","22,266","22,690","22,788","22,723","23,095","23,368","23,828","24,128","24,448","24,825","25,038","25,291","25,809","26,201","26,540","27,027","27,747","28,012","28,327","28,520","28,736","29,059","29,361","29,746","30,452","30,735","31,054","31,497","32,014","32,369","32,624","33,022","33,557","34,354","35,024","35,213","36,054","36,305","36,861","37,306","37,612","37,994","38,413","38,803","39,030","39,055","39,289","39,424","39,824","40,282","40,517","40,885","41,048","41,172","41,201","41,697","41,603","41,996","42,548","42,612","42,833","43,268","43,671","44,273","44,239","44,316","44,782","45,087","45,525","45,778","46,153","46,632","46,987","47,340","47,519","47,741","48,199","48,566","48,808","48,887","49,384","49,723","50,163","50,318","50,655","50,994","51,496","51,476","50,108","39,371","47,520","49,088","50,257","49,434","50,496","51,078","53,197","54,301","53,374","53,995","53,916"
"Medical products, appliances and equipment  [C161]","1,119","1,153","1,170","1,204","1,237","1,271","1,322","1,356","1,373","1,373","1,356","1,386","1,415","1,454","1,470","1,483","1,572","1,602","1,657","1,725","1,737","1,793","1,809","1,843","1,831","1,865","1,894","1,992","2,009","1,975","2,076","2,182","2,212","2,280","2,420","2,534","2,479","2,555","2,640","2,856","2,954","2,971","3,146","3,338","3,286","3,299","3,316","3,299","3,421","3,544","3,530","3,561","3,705","3,758","3,740","3,745","3,779","3,766","3,841","3,849","3,854","3,911","3,980","3,994","3,972","4,160","4,068","4,291","4,356","4,356","4,417","4,496","4,535","4,544","4,557","4,562","4,579","4,518","4,632","4,697","4,732","4,676","4,564","4,508","4,554","4,563","4,545","4,554","4,628","4,628","4,675","4,703","4,805","4,898","4,945","5,029","5,047","5,150","5,317","5,401","5,526","5,552","5,597","5,630","5,584","5,578","5,493","5,545","5,629","5,648","5,778","5,843","5,902","5,954","6,122","6,155","6,298","6,344","6,499","6,370","6,355","6,369","6,447","6,753","6,762","6,924","6,948","6,977","7,419","7,367","7,348","7,234","7,329","7,386","7,548","7,600","7,695","7,833","7,938","8,119","8,070","8,051","8,151","8,346","8,635","8,778","9,167","9,069","9,385","9,629","9,672","9,602","9,829","9,935","10,149","10,301","10,478","10,745","10,815","10,894","11,158","11,352","11,523","11,852","12,344","12,510","12,722","12,884","13,105","13,335","13,560","13,802","14,252","14,343","14,491","14,712","15,036","15,236","15,371","15,657","16,009","16,592","17,047","17,065","17,712","17,798","18,177","18,421","18,576","18,783","19,016","19,158","19,248","19,200","19,370","19,443","19,740","20,082","20,169","20,441","20,587","20,725","20,754","21,148","20,876","21,128","21,596","21,616","21,728","22,108","22,459","23,075","23,010","23,085","23,528","23,765","24,065","24,199","24,488","24,901","25,021","25,207","25,283","25,379","25,838","26,233","26,489","26,560","26,938","27,230","27,581","27,727","28,076","28,266","28,489","28,006","28,626","25,922","29,468","29,774","30,672","29,368","30,255","30,619","32,787","33,847","32,617","33,094","32,741"
"Out-patient services  [C162]","6,514","6,690","6,778","6,690","6,690","6,822","6,998","7,262","7,438","7,394","7,471","7,482","7,658","7,790","7,922","7,955","7,966","8,054","8,219","8,527","8,714","8,923","9,011","8,967","9,143","9,539","9,628","9,760","9,760","10,024","10,145","10,717","9,804","8,571","8,659","8,835","7,108","6,536","5,832","5,039","4,379","4,777","4,716","4,716","4,930","5,114","5,229","5,696","6,086","6,086","6,063","5,956","5,864","5,795","6,194","6,109","6,400","6,492","6,699","6,370","6,308","6,362","6,140","6,737","6,676","6,997","7,166","7,273","7,350","7,365","7,357","7,265","7,097","6,936","6,990","7,036","7,564","7,893","7,840","7,656","7,074","6,889","6,916","6,850","7,614","7,522","7,535","7,627","7,588","7,667","7,627","7,522","7,864","7,983","8,035","8,009","8,193","8,141","8,338","8,365","8,263","8,199","8,393","8,393","8,643","8,940","8,690","8,495","8,347","8,189","7,921","7,828","8,097","8,171","8,282","8,319","8,236","8,254","8,338","8,402","8,458","8,458","8,449","8,365","8,314","8,091","8,056","8,056","8,307","8,321","8,335","8,293","8,265","8,293","8,384","8,516","9,046","9,360","9,646","9,869","9,758","9,827","9,897","10,155","10,645","11,000","11,354","11,487","11,594","11,727","11,778","11,790","11,917","12,087","12,321","12,448","12,537","12,574","12,676","12,846","13,087","13,270","13,416","13,511","13,686","13,774","13,852","13,863","13,819","13,879","13,929","14,023","14,206","14,394","14,538","14,748","14,908","15,041","15,146","15,235","15,384","15,528","15,710","15,865","16,015","16,160","16,315","16,498","16,620","16,784","16,958","17,188","17,343","17,427","17,470","17,503","17,573","17,657","17,789","17,855","17,850","17,808","17,794","17,887","18,040","18,144","18,204","18,232","18,308","18,348","18,396","18,408","18,436","18,444","18,480","18,556","18,688","18,796","18,876","18,956","19,184","19,348","19,444","19,564","19,620","19,640","19,660","19,684","19,808","19,868","19,972","20,008","20,028","20,164","20,380","20,696","18,956","12,196","16,400","17,540","17,856","18,140","18,380","18,628","18,804","18,952","19,080","19,252","19,448"
"Hospital services  [C163]","1,780","1,780","1,879","1,978","1,978","1,978","1,904","1,904","2,003","2,003","1,904","1,904","1,830","1,805","1,805","1,731","1,731","1,731","1,731","1,756","1,657","1,681","1,681","1,681","1,681","1,681","1,681","1,607","1,508","1,607","1,508","1,508","1,508","1,434","1,434","1,335","1,335","1,335","1,335","1,261","1,162","1,091","1,011","970","889","849","778","697","627","616","576","627","667","667","536","566","566","576","616","788","1,081","1,071","1,344","1,142","1,233","1,152","1,081","1,162","1,182","1,213","1,233","1,294","1,334","1,304","1,304","1,324","1,223","1,182","1,233","1,294","1,334","1,361","1,374","1,374","1,256","1,256","1,230","1,230","1,295","1,295","1,308","1,295","1,282","1,282","1,295","1,334","1,465","1,518","1,531","1,557","1,705","1,734","1,764","1,783","1,851","1,676","1,647","1,608","1,617","1,656","1,695","1,715","1,686","1,686","1,725","1,734","1,734","1,734","1,764","1,783","1,803","1,832","1,832","1,841","1,738","1,732","1,732","1,745","1,759","1,787","1,814","1,849","1,807","1,780","1,732","1,649","1,821","1,876","1,911","1,980","1,669","1,690","1,711","1,745","1,667","1,654","1,648","1,674","1,732","1,764","1,770","1,777","1,777","1,783","1,796","1,815","1,860","1,905","1,957","1,976","1,983","1,996","2,015","2,047","2,054","2,054","2,060","2,060","2,065","2,077","2,082","2,116","2,161","2,178","2,206","2,218","2,235","2,251","2,263","2,268","2,285","2,319","2,330","2,359","2,364","2,392","2,397","2,411","2,440","2,449","2,459","2,482","2,468","2,463","2,478","2,506","2,530","2,553","2,572","2,596","2,615","2,639","2,653","2,658","2,688","2,724","2,748","2,764","2,796","2,816","2,828","2,820","2,820","2,816","2,820","2,820","2,832","2,844","2,860","2,864","2,864","2,868","2,872","2,876","2,848","2,828","2,812","2,800","2,812","2,816","2,820","2,804","2,800","2,816","2,872","2,940","2,916","2,152","2,408","2,428","2,436","2,456","2,456","2,436","2,432","2,432","2,436","2,440","2,444"
"Transport  [C17]","19,601","20,348","21,990","21,359","23,171","22,947","22,296","23,517","24,189","25,092","24,400","27,033","27,576","27,590","28,553","27,739","29,151","31,119","31,228","32,056","32,999","31,173","33,651","33,637","33,284","35,055","34,580","34,458","35,714","35,286","36,664","37,757","38,978","37,635","37,811","37,960","36,535","36,712","37,811","36,488","37,960","39,965","41,447","43,681","42,417","44,933","45,065","48,902","52,618","51,671","50,838","51,613","53,302","54,123","55,502","50,539","53,893","55,358","58,029","62,193","57,294","60,533","58,753","62,486","62,750","61,165","61,027","62,388","62,480","65,163","65,410","64,973","66,851","67,219","67,874","65,743","66,024","63,497","67,282","67,236","67,374","66,118","64,455","63,355","59,477","58,477","57,720","57,022","58,824","61,375","62,517","64,877","66,540","67,384","67,981","69,700","72,029","74,837","76,749","77,532","77,215","76,715","80,127","77,017","79,339","83,103","82,659","83,954","86,935","87,383","86,731","88,709","86,374","89,190","86,515","87,326","88,754","85,012","83,597","80,800","78,934","84,287","82,495","80,366","81,759","81,634","82,473","82,396","81,594","82,517","83,537","83,696","85,890","85,289","84,963","88,194","85,073","84,917","87,561","87,683","88,775","88,812","89,281","93,557","95,790","97,843","98,978","103,592","97,901","103,043","103,426","103,289","105,551","105,444","108,246","109,658","110,472","110,976","113,682","109,535","111,242","111,810","110,815","115,283","118,055","118,382","118,210","121,488","120,864","120,577","122,558","118,378","120,874","121,411","121,952","123,983","125,050","125,911","126,183","125,230","126,146","128,242","130,882","132,160","131,575","136,118","135,203","137,483","143,214","141,128","138,491","133,681","131,951","136,239","139,559","141,486","141,061","141,290","143,901","146,028","143,946","144,491","145,268","148,038","150,199","148,161","148,142","149,143","151,119","154,962","156,856","158,218","158,235","161,313","163,232","163,909","162,534","165,279","169,271","171,719","172,076","171,303","172,103","173,882","177,483","181,514","183,018","183,176","184,063","183,670","183,562","183,922","185,163","183,546","183,060","182,410","159,613","110,313","155,843","153,806","149,198","150,639","157,173","157,291","157,885","159,707","164,119","170,195","175,774"
"Purchase of vehicles  [C171]","4,660","5,031","5,883","5,496","6,161","6,192","5,821","6,541","6,641","7,179","6,602","7,934","8,274","8,154","8,565","7,922","8,646","9,749","9,730","10,039","10,442","9,052","10,477","10,442","10,028","10,894","10,434","10,279","10,984","10,686","11,417","11,866","12,555","11,545","11,583","11,359","10,175","10,136","10,566","9,730","10,535","11,624","12,180","13,213","12,615","13,481","13,311","15,217","17,071","15,929","15,531","15,974","16,405","17,033","17,302","14,340","15,985","17,188","18,875","21,326","17,355","19,681","18,278","20,770","20,419","18,970","19,261","19,571","19,136","20,188","20,290","19,337","20,732","20,642","20,388","19,477","19,571","17,113","19,015","19,011","19,227","18,436","17,514","17,424","14,995","15,551","14,980","15,278","16,054","18,392","18,663","20,662","21,786","21,166","21,589","23,137","23,867","26,085","26,935","27,967","27,757","25,736","27,673","25,470","27,097","29,084","28,701","29,197","30,384","30,295","30,540","30,406","28,571","31,107","28,436","29,478","30,000","27,934","27,616","26,481","26,024","29,863","28,818","25,812","27,563","26,526","27,712","27,268","26,320","26,643","27,197","26,984","27,620","27,313","26,386","28,325","26,019","26,212","27,542","27,515","27,463","27,707","28,025","30,979","31,690","32,983","33,847","37,935","32,417","35,808","35,929","35,102","36,306","36,392","38,371","39,643","39,800","40,190","41,834","37,721","38,931","39,906","39,901","43,442","44,634","45,267","44,925","46,662","45,824","46,526","48,318","44,270","45,267","45,580","45,446","46,431","46,856","47,462","47,877","46,670","47,806","48,069","49,762","50,221","49,785","52,469","51,355","52,853","57,364","56,479","54,346","49,385","48,596","52,556","55,316","55,825","54,737","54,202","56,251","57,053","55,096","54,730","54,618","56,860","59,913","57,525","57,623","57,996","59,661","62,485","62,810","62,415","62,842","65,272","66,885","66,045","64,358","66,714","70,103","71,843","71,301","70,126","70,272","71,822","74,508","76,231","76,834","76,213","76,976","76,538","75,542","75,754","75,922","74,662","74,807","74,010","59,621","46,683","72,566","70,518","68,203","67,085","66,320","65,546","66,294","61,671","64,029","68,970","72,556"
"Operation of transport equipment  [C172]","12,886","12,906","13,130","13,109","14,044","13,597","13,658","13,750","14,207","14,278","14,634","15,000","14,928","15,111","15,426","15,762","15,874","16,026","16,097","16,565","16,778","17,144","17,276","17,479","17,560","17,886","18,028","18,130","18,678","18,658","18,892","19,522","19,522","20,335","20,060","20,477","20,812","20,863","21,788","22,042","22,001","22,536","23,156","23,877","23,637","24,706","24,768","26,364","27,225","28,062","28,015","27,597","28,790","28,627","29,604","28,627","29,728","29,736","29,426","30,518","31,069","31,557","31,100","31,580","32,487","32,626","31,960","32,921","33,525","34,641","34,858","35,253","34,951","35,315","36,067","35,850","35,610","36,524","37,509","38,245","38,144","37,180","36,363","35,907","35,675","34,540","34,802","33,926","34,802","34,594","35,517","34,959","35,131","37,066","36,861","36,424","37,946","38,161","38,634","38,068","38,283","40,175","41,042","41,516","41,561","42,710","42,934","43,845","44,352","44,829","44,753","45,975","45,604","45,595","45,527","45,312","46,332","45,253","44,980","43,385","42,837","43,945","43,516","45,019","44,205","45,450","44,859","45,655","46,559","47,218","47,281","48,003","49,094","48,944","49,824","50,514","50,236","49,347","50,127","50,676","51,688","50,861","50,760","51,303","51,752","52,197","52,181","50,914","53,126","53,730","54,199","55,063","56,691","56,545","56,880","56,552","57,362","56,926","57,563","58,419","58,782","58,623","57,703","58,602","60,400","59,565","59,892","60,298","61,366","61,109","60,312","60,830","61,854","61,620","62,335","63,253","63,505","63,634","62,938","63,415","62,976","64,593","65,289","65,809","65,673","67,040","67,057","67,369","67,839","67,031","66,704","66,796","66,693","66,558","66,479","67,829","68,334","68,764","68,994","69,816","69,405","70,282","71,114","71,401","70,195","70,548","70,575","71,006","71,232","72,266","73,843","75,400","74,613","75,030","75,097","76,452","76,609","76,783","77,157","77,685","78,512","78,550","78,599","78,785","79,175","81,086","81,267","82,066","81,846","81,602","82,151","82,513","83,297","82,826","82,226","82,273","78,435","60,292","76,015","75,520","73,572","75,952","80,265","79,275","78,790","80,580","81,135","81,193","82,721"
"Transport services  [C173]","4,742","4,879","4,879","4,970","5,016","5,050","4,959","4,833","5,152","5,016","5,118","5,289","5,301","5,449","5,540","5,597","5,768","5,791","5,939","5,928","6,121","6,372","6,509","6,349","6,714","6,953","7,170","7,250","6,851","6,942","7,045","6,942","7,170","6,611","7,056","7,284","7,466","7,740","7,409","7,067","7,455","7,394","7,637","7,811","7,576","8,107","8,561","8,273","8,637","8,834","8,576","9,160","9,334","9,387","9,682","9,766","9,932","9,614","10,349","10,281","10,342","9,948","10,546","10,523","10,516","10,811","10,842","11,023","11,266","11,675","11,599","12,296","12,508","12,766","13,296","12,433","12,864","13,001","13,471","12,713","12,622","13,343","13,621","12,880","12,092","11,280","10,920","10,596","10,730","10,656","10,668","11,251","11,464","11,342","11,649","11,942","12,094","12,065","12,615","12,660","12,368","12,865","13,108","12,429","12,633","12,992","12,827","12,748","13,931","14,130","13,111","14,424","14,816","14,298","15,188","14,806","14,735","14,425","13,541","13,451","12,533","12,453","12,249","12,448","12,386","12,530","12,391","12,211","11,857","11,857","12,134","12,000","12,530","12,441","12,637","12,821","12,936","13,201","13,514","13,260","13,663","14,002","14,128","14,064","15,038","15,022","15,012","15,122","15,213","15,334","15,216","15,572","15,042","14,929","14,842","14,825","14,817","15,153","15,280","15,622","15,513","14,970","14,708","13,958","13,827","13,978","13,982","14,723","14,304","13,373","13,743","14,190","14,614","14,959","15,067","15,143","15,489","15,520","15,923","15,943","15,928","16,298","16,399","16,693","16,726","17,009","17,337","17,682","18,174","17,784","17,622","17,802","17,057","17,266","17,718","17,822","18,040","18,419","18,625","19,113","19,425","19,463","19,521","19,764","20,092","20,088","19,944","20,140","20,224","20,208","20,207","20,404","20,777","21,017","21,257","21,455","21,693","21,764","21,819","21,923","22,103","22,560","23,134","23,062","23,408","23,803","24,480","24,552","24,848","25,158","25,565","25,350","25,669","25,834","25,762","25,916","22,245","4,538","6,886","7,552","7,263","7,746","11,218","13,194","13,496","18,843","20,467","21,543","21,983"
"Communications  [C18]","1,018","1,018","1,050","1,061","1,083","1,094","1,104","1,137","1,137","1,159","1,202","1,213","1,234","1,267","1,267","1,289","1,299","1,310","1,340","1,375","1,397","1,437","1,473","1,527","1,538","1,567","1,613","1,668","1,665","1,676","1,741","1,711","1,781","1,811","1,825","1,908","1,895","1,995","1,903","2,019","2,090","2,147","2,157","2,214","2,248","2,258","2,315","2,363","2,421","2,478","2,533","2,627","2,679","2,816","2,814","2,890","2,977","3,096","3,130","3,156","3,343","3,513","3,545","3,557","3,571","3,533","3,667","3,664","3,787","3,878","3,971","4,026","4,081","4,309","4,347","4,422","4,522","4,642","4,820","4,846","4,901","5,106","5,135","5,083","5,056","4,911","5,000","5,092","5,056","5,114","5,101","5,059","5,415","5,324","5,309","5,419","5,510","5,611","5,811","5,972","5,886","6,204","6,334","6,403","6,481","6,600","6,666","6,774","7,135","7,305","7,386","7,644","7,989","8,030","8,101","8,369","8,519","8,634","8,804","8,965","8,806","8,920","8,925","8,912","9,120","9,186","9,252","9,275","9,365","9,376","9,449","9,506","9,628","9,715","9,749","9,697","10,207","10,463","10,602","10,765","10,884","10,918","11,066","11,144","11,355","11,414","11,602","11,579","11,707","12,105","12,440","12,660","12,797","13,070","13,185","13,703","14,204","14,584","14,782","14,999","15,171","15,394","15,712","16,151","16,650","17,043","17,245","17,367","17,602","17,683","17,804","17,993","18,370","18,695","18,924","19,188","19,505","19,927","20,258","20,586","20,907","21,137","21,417","21,649","21,759","21,851","21,998","22,261","22,182","22,364","22,751","23,152","23,758","23,989","24,140","24,091","23,966","23,997","24,197","24,570","24,927","25,125","25,249","25,317","25,320","25,396","25,592","25,928","26,173","26,408","26,493","26,497","26,425","26,426","26,500","26,593","26,608","26,675","26,828","26,927","27,276","27,597","28,040","28,443","29,133","29,784","30,337","30,771","31,275","31,588","32,106","32,379","32,895","33,367","33,665","34,024","33,916","34,067","34,903","35,510","36,369","37,040","37,565","38,092","38,434","38,989","39,272","40,070","41,002"
